"Visit","Scenario","Event_rate","CI_type","Coverage","rank","old_rank","coverage_old"
0,1,1,"LEF_outcome",0.993,1,"LEF_outcome",0.993
0,1,1,"LEF_both",0.993,1,"LEF_both",0.993
0,1,1,"Bootstrap",0.967,2,"Bootstrap",0.966
0,1,1,"Jackknife_Wald",0.951,3,"Jackknife_Wald",0.944
0,1,1,"Jackknife_MVN",0.887814313346228,4,"Jackknife_MVN",0.882136279926335
0,1,1,"Sandwich",0.85854189336235,5,"Sandwich",0.836206896551724
1,1,1,"LEF_outcome",0.99,1,"LEF_outcome",0.992
1,1,1,"LEF_both",0.99,1,"LEF_both",0.992
1,1,1,"Jackknife_Wald",0.96,2,"Jackknife_Wald",0.964
1,1,1,"Bootstrap",0.954,3,"Bootstrap",0.956
1,1,1,"Jackknife_MVN",0.93036750483559,4,"Jackknife_MVN",0.931860036832412
1,1,1,"Sandwich",0.871599564744287,5,"Sandwich",0.873922413793103
2,1,1,"LEF_outcome",0.974,1,"LEF_outcome",0.973
2,1,1,"LEF_both",0.974,1,"LEF_both",0.973
2,1,1,"Jackknife_MVN",0.943907156673114,2,"Jackknife_Wald",0.959
2,1,1,"Jackknife_Wald",0.943,3,"Jackknife_MVN",0.953959484346225
2,1,1,"Bootstrap",0.927,4,"Bootstrap",0.933
2,1,1,"Sandwich",0.81936887921654,5,"Sandwich",0.814655172413793
3,1,1,"Jackknife_MVN",0.955512572533849,1,"Jackknife_MVN",0.965009208103131
3,1,1,"Jackknife_Wald",0.945,2,"Jackknife_Wald",0.958
3,1,1,"LEF_outcome",0.924,3,"LEF_outcome",0.911
3,1,1,"LEF_both",0.923,4,"LEF_both",0.91
3,1,1,"Bootstrap",0.902,5,"Bootstrap",0.888
3,1,1,"Sandwich",0.76822633297062,6,"Sandwich",0.744612068965517
4,1,1,"Jackknife_MVN",0.963249516441006,1,"Jackknife_MVN",0.974217311233886
4,1,1,"Jackknife_Wald",0.944,2,"Jackknife_Wald",0.964
4,1,1,"LEF_outcome",0.899,3,"LEF_outcome",0.884
4,1,1,"LEF_both",0.899,3,"Bootstrap",0.88
4,1,1,"Bootstrap",0.897,4,"LEF_both",0.878
4,1,1,"Sandwich",0.779107725788901,5,"Sandwich",0.752155172413793
0,2,1,"LEF_outcome",0.977,1,"LEF_outcome",0.969
0,2,1,"LEF_both",0.977,1,"LEF_both",0.969
0,2,1,"Bootstrap",0.949,2,"Bootstrap",0.942
0,2,1,"Sandwich",0.922190201729107,3,"Sandwich",0.907380607814761
0,2,1,"Jackknife_Wald",0.919,4,"Jackknife_Wald",0.906
0,2,1,"Jackknife_MVN",0.890577507598784,5,"Jackknife_MVN",0.875126903553299
1,2,1,"LEF_outcome",0.98,1,"LEF_outcome",0.963
1,2,1,"LEF_both",0.98,1,"LEF_both",0.962
1,2,1,"Jackknife_MVN",0.917933130699088,2,"Jackknife_MVN",0.914720812182741
1,2,1,"Jackknife_Wald",0.904,3,"Sandwich",0.895803183791606
1,2,1,"Sandwich",0.899135446685879,4,"Jackknife_Wald",0.882
1,2,1,"Bootstrap",0.894,5,"Bootstrap",0.86
2,2,1,"LEF_outcome",0.962,1,"Jackknife_MVN",0.92994923857868
2,2,1,"LEF_both",0.961,2,"LEF_outcome",0.921
2,2,1,"Jackknife_MVN",0.931104356636272,3,"LEF_both",0.918
2,2,1,"Jackknife_Wald",0.883,4,"Jackknife_Wald",0.861
2,2,1,"Sandwich",0.848703170028818,5,"Bootstrap",0.806
2,2,1,"Bootstrap",0.839,6,"Sandwich",0.801736613603473
3,2,1,"Jackknife_MVN",0.931104356636272,1,"Jackknife_MVN",0.937055837563452
3,2,1,"LEF_outcome",0.924,2,"LEF_outcome",0.876
3,2,1,"LEF_both",0.923,3,"LEF_both",0.872
3,2,1,"Jackknife_Wald",0.873,4,"Jackknife_Wald",0.853
3,2,1,"Bootstrap",0.804,5,"Bootstrap",0.744
3,2,1,"Sandwich",0.79971181556196,6,"Sandwich",0.742402315484805
4,2,1,"Jackknife_MVN",0.941236068895643,1,"Jackknife_MVN",0.939086294416244
4,2,1,"LEF_outcome",0.88,2,"Jackknife_Wald",0.832
4,2,1,"LEF_both",0.878,3,"LEF_outcome",0.826
4,2,1,"Jackknife_Wald",0.852,4,"LEF_both",0.823
4,2,1,"Bootstrap",0.788,5,"Bootstrap",0.711
4,2,1,"Sandwich",0.757925072046109,6,"Sandwich",0.706222865412446
0,3,1,"LEF_outcome",0.894,1,"Sandwich",0.89937106918239
0,3,1,"LEF_both",0.894,1,"LEF_outcome",0.899
0,3,1,"Sandwich",0.883333333333333,2,"LEF_both",0.899
0,3,1,"Bootstrap",0.689,3,"Bootstrap",0.765
0,3,1,"Jackknife_Wald",0.633,4,"Jackknife_Wald",0.629
0,3,1,"Jackknife_MVN",0.617710583153348,5,"Jackknife_MVN",0.596385542168675
1,3,1,"LEF_outcome",0.934,1,"LEF_outcome",0.925
1,3,1,"LEF_both",0.933,2,"LEF_both",0.925
1,3,1,"Sandwich",0.811111111111111,3,"Sandwich",0.823899371069182
1,3,1,"Jackknife_MVN",0.673866090712743,4,"Jackknife_MVN",0.64859437751004
1,3,1,"Jackknife_Wald",0.661,5,"Jackknife_Wald",0.637
1,3,1,"Bootstrap",0.6,6,"Bootstrap",0.594
2,3,1,"LEF_outcome",0.896,1,"LEF_both",0.894
2,3,1,"LEF_both",0.894,2,"LEF_outcome",0.893
2,3,1,"Jackknife_MVN",0.73866090712743,3,"Sandwich",0.729559748427673
2,3,1,"Sandwich",0.705555555555556,4,"Jackknife_MVN",0.72289156626506
2,3,1,"Jackknife_Wald",0.689,5,"Jackknife_Wald",0.684
2,3,1,"Bootstrap",0.575,6,"Bootstrap",0.554
3,3,1,"LEF_outcome",0.842,1,"LEF_outcome",0.835
3,3,1,"LEF_both",0.842,1,"LEF_both",0.835
3,3,1,"Jackknife_MVN",0.764578833693304,2,"Jackknife_MVN",0.748995983935743
3,3,1,"Jackknife_Wald",0.722,3,"Jackknife_Wald",0.721
3,3,1,"Sandwich",0.683333333333333,4,"Sandwich",0.716981132075472
3,3,1,"Bootstrap",0.518,5,"Bootstrap",0.52
4,3,1,"LEF_outcome",0.793,1,"LEF_outcome",0.799
4,3,1,"LEF_both",0.793,1,"LEF_both",0.798
4,3,1,"Jackknife_MVN",0.777537796976242,2,"Jackknife_MVN",0.763052208835341
4,3,1,"Jackknife_Wald",0.739,3,"Jackknife_Wald",0.739
4,3,1,"Sandwich",0.666666666666667,4,"Sandwich",0.723270440251572
4,3,1,"Bootstrap",0.478,5,"Bootstrap",0.498
0,4,1,"LEF_outcome",0.997,1,"LEF_outcome",0.997
0,4,1,"LEF_both",0.997,1,"LEF_both",0.997
0,4,1,"Bootstrap",0.976,2,"Bootstrap",0.978
0,4,1,"Jackknife_Wald",0.955,3,"Jackknife_Wald",0.961
0,4,1,"Jackknife_MVN",0.916167664670659,4,"Jackknife_MVN",0.928436911487759
0,4,1,"Sandwich",0.885228480340064,5,"Sandwich",0.903088391906283
1,4,1,"LEF_outcome",0.995,1,"LEF_outcome",0.992
1,4,1,"LEF_both",0.995,1,"LEF_both",0.992
1,4,1,"Bootstrap",0.961,2,"Bootstrap",0.967
1,4,1,"Jackknife_MVN",0.958083832335329,3,"Jackknife_Wald",0.964
1,4,1,"Jackknife_Wald",0.956,4,"Jackknife_MVN",0.962335216572505
1,4,1,"Sandwich",0.901168969181722,5,"Sandwich",0.904153354632588
2,4,1,"LEF_outcome",0.965,1,"Jackknife_MVN",0.975517890772128
2,4,1,"LEF_both",0.965,1,"Jackknife_Wald",0.971
2,4,1,"Jackknife_MVN",0.956087824351297,2,"LEF_outcome",0.97
2,4,1,"Jackknife_Wald",0.951,3,"LEF_both",0.97
2,4,1,"Bootstrap",0.938,4,"Bootstrap",0.945
2,4,1,"Sandwich",0.842720510095643,5,"Sandwich",0.846645367412141
3,4,1,"Jackknife_MVN",0.962075848303393,1,"Jackknife_MVN",0.971751412429379
3,4,1,"Jackknife_Wald",0.95,2,"Jackknife_Wald",0.952
3,4,1,"LEF_both",0.918,3,"LEF_outcome",0.921
3,4,1,"LEF_outcome",0.917,4,"LEF_both",0.921
3,4,1,"Bootstrap",0.895,5,"Bootstrap",0.888
3,4,1,"Sandwich",0.780021253985122,6,"Sandwich",0.78594249201278
4,4,1,"Jackknife_MVN",0.980039920159681,1,"Jackknife_MVN",0.977401129943503
4,4,1,"Jackknife_Wald",0.945,2,"Jackknife_Wald",0.946
4,4,1,"LEF_both",0.898,3,"LEF_outcome",0.888
4,4,1,"LEF_outcome",0.897,4,"LEF_both",0.888
4,4,1,"Bootstrap",0.885,5,"Bootstrap",0.877
4,4,1,"Sandwich",0.793836344314559,6,"Sandwich",0.798722044728435
0,5,1,"LEF_outcome",0.976,1,"LEF_outcome",0.978
0,5,1,"LEF_both",0.976,1,"LEF_both",0.978
0,5,1,"Sandwich",0.925311203319502,2,"Sandwich",0.933147632311978
0,5,1,"Bootstrap",0.913,3,"Bootstrap",0.917
0,5,1,"Jackknife_Wald",0.882,4,"Jackknife_Wald",0.895
0,5,1,"Jackknife_MVN",0.868257261410788,5,"Jackknife_MVN",0.870314083080041
1,5,1,"LEF_outcome",0.977,1,"LEF_outcome",0.964
1,5,1,"LEF_both",0.977,1,"LEF_both",0.962
1,5,1,"Jackknife_MVN",0.902489626556017,2,"Jackknife_MVN",0.891590678824721
1,5,1,"Sandwich",0.887966804979253,3,"Sandwich",0.87883008356546
1,5,1,"Bootstrap",0.85,4,"Jackknife_Wald",0.869
1,5,1,"Jackknife_Wald",0.847,5,"Bootstrap",0.852
2,5,1,"LEF_outcome",0.938,1,"LEF_outcome",0.929
2,5,1,"LEF_both",0.937,2,"LEF_both",0.927
2,5,1,"Jackknife_MVN",0.9149377593361,3,"Jackknife_MVN",0.912867274569402
2,5,1,"Jackknife_Wald",0.841,4,"Jackknife_Wald",0.841
2,5,1,"Sandwich",0.814661134163209,5,"Sandwich",0.8008356545961
2,5,1,"Bootstrap",0.785,6,"Bootstrap",0.797
3,5,1,"Jackknife_MVN",0.91701244813278,1,"Jackknife_MVN",0.921985815602837
3,5,1,"LEF_outcome",0.893,2,"LEF_outcome",0.861
3,5,1,"LEF_both",0.893,2,"LEF_both",0.857
3,5,1,"Jackknife_Wald",0.824,3,"Jackknife_Wald",0.855
3,5,1,"Sandwich",0.756569847856155,4,"Bootstrap",0.759
3,5,1,"Bootstrap",0.741,5,"Sandwich",0.742339832869081
4,5,1,"Jackknife_MVN",0.923236514522822,1,"Jackknife_MVN",0.9209726443769
4,5,1,"LEF_outcome",0.829,2,"Jackknife_Wald",0.822
4,5,1,"LEF_both",0.829,2,"LEF_both",0.806
4,5,1,"Jackknife_Wald",0.814,3,"LEF_outcome",0.804
4,5,1,"Bootstrap",0.721,4,"Bootstrap",0.737
4,5,1,"Sandwich",0.69432918395574,5,"Sandwich",0.70891364902507
0,6,1,"LEF_outcome",0.923,1,"LEF_outcome",0.931
0,6,1,"LEF_both",0.923,1,"LEF_both",0.931
0,6,1,"Sandwich",0.880434782608696,2,"Sandwich",0.917948717948718
0,6,1,"Bootstrap",0.671,3,"Bootstrap",0.722
0,6,1,"Jackknife_MVN",0.644444444444444,4,"Jackknife_Wald",0.635
0,6,1,"Jackknife_Wald",0.642,5,"Jackknife_MVN",0.598790322580645
1,6,1,"LEF_outcome",0.949,1,"LEF_outcome",0.93
1,6,1,"LEF_both",0.948,2,"LEF_both",0.929
1,6,1,"Sandwich",0.83695652173913,3,"Sandwich",0.846153846153846
1,6,1,"Jackknife_MVN",0.696969696969697,4,"Jackknife_Wald",0.637
1,6,1,"Jackknife_Wald",0.667,5,"Jackknife_MVN",0.629032258064516
1,6,1,"Bootstrap",0.603,6,"Bootstrap",0.57
2,6,1,"LEF_outcome",0.911,1,"LEF_outcome",0.894
2,6,1,"LEF_both",0.91,2,"LEF_both",0.893
2,6,1,"Sandwich",0.760869565217391,3,"Sandwich",0.753846153846154
2,6,1,"Jackknife_MVN",0.745454545454545,4,"Jackknife_MVN",0.679435483870968
2,6,1,"Jackknife_Wald",0.699,5,"Jackknife_Wald",0.664
2,6,1,"Bootstrap",0.575,6,"Bootstrap",0.544
3,6,1,"LEF_outcome",0.858,1,"LEF_outcome",0.851
3,6,1,"LEF_both",0.857,2,"LEF_both",0.849
3,6,1,"Jackknife_MVN",0.771717171717172,3,"Jackknife_MVN",0.703629032258065
3,6,1,"Sandwich",0.755434782608696,4,"Sandwich",0.702564102564103
3,6,1,"Jackknife_Wald",0.732,5,"Jackknife_Wald",0.696
3,6,1,"Bootstrap",0.531,6,"Bootstrap",0.491
4,6,1,"LEF_outcome",0.825,1,"LEF_both",0.812
4,6,1,"LEF_both",0.825,1,"LEF_outcome",0.809
4,6,1,"Jackknife_MVN",0.773737373737374,2,"Jackknife_MVN",0.725806451612903
4,6,1,"Sandwich",0.755434782608696,3,"Jackknife_Wald",0.717
4,6,1,"Jackknife_Wald",0.751,4,"Sandwich",0.707692307692308
4,6,1,"Bootstrap",0.509,5,"Bootstrap",0.457
0,7,1,"LEF_outcome",0.993,1,"LEF_outcome",0.996
0,7,1,"LEF_both",0.993,1,"LEF_both",0.996
0,7,1,"Jackknife_MVN",0.966252220248668,2,"Jackknife_MVN",0.968864468864469
0,7,1,"Bootstrap",0.964,3,"Bootstrap",0.963
0,7,1,"Jackknife_Wald",0.954,4,"Jackknife_Wald",0.958
0,7,1,"Sandwich",0.934479054779807,5,"Sandwich",0.944864864864865
1,7,1,"LEF_outcome",0.988,1,"LEF_outcome",0.987
1,7,1,"LEF_both",0.988,1,"LEF_both",0.985
1,7,1,"Jackknife_MVN",0.978685612788632,2,"Jackknife_MVN",0.974358974358974
1,7,1,"Bootstrap",0.958,3,"Jackknife_Wald",0.957
1,7,1,"Jackknife_Wald",0.956,4,"Bootstrap",0.95
1,7,1,"Sandwich",0.889366272824919,5,"Sandwich",0.905945945945946
2,7,1,"Jackknife_MVN",0.968028419182948,1,"Jackknife_MVN",0.95970695970696
2,7,1,"Jackknife_Wald",0.952,2,"LEF_outcome",0.954
2,7,1,"LEF_outcome",0.949,3,"LEF_both",0.951
2,7,1,"LEF_both",0.948,4,"Jackknife_Wald",0.943
2,7,1,"Bootstrap",0.932,5,"Bootstrap",0.918
2,7,1,"Sandwich",0.830290010741139,6,"Sandwich",0.857297297297297
3,7,1,"Jackknife_MVN",0.980461811722913,1,"Jackknife_MVN",0.974358974358974
3,7,1,"Jackknife_Wald",0.945,2,"Jackknife_Wald",0.938
3,7,1,"LEF_outcome",0.874,3,"LEF_outcome",0.898
3,7,1,"LEF_both",0.873,4,"LEF_both",0.895
3,7,1,"Bootstrap",0.862,5,"Bootstrap",0.853
3,7,1,"Sandwich",0.766917293233083,6,"Sandwich",0.805405405405405
4,7,1,"Jackknife_MVN",0.985790408525755,1,"Jackknife_MVN",0.974358974358974
4,7,1,"Jackknife_Wald",0.925,2,"Jackknife_Wald",0.93
4,7,1,"LEF_outcome",0.841,3,"LEF_both",0.859
4,7,1,"LEF_both",0.841,3,"LEF_outcome",0.857
4,7,1,"Bootstrap",0.838,4,"Bootstrap",0.849
4,7,1,"Sandwich",0.764769065520945,5,"Sandwich",0.803243243243243
0,8,1,"LEF_outcome",0.989,1,"LEF_outcome",0.985
0,8,1,"LEF_both",0.989,1,"LEF_both",0.985
0,8,1,"Sandwich",0.956,2,"Sandwich",0.952134540750323
0,8,1,"Jackknife_MVN",0.908613445378151,3,"Jackknife_MVN",0.918518518518519
0,8,1,"Jackknife_Wald",0.906,4,"Jackknife_Wald",0.906
0,8,1,"Bootstrap",0.903,5,"Bootstrap",0.902
1,8,1,"LEF_outcome",0.972,1,"LEF_outcome",0.967
1,8,1,"LEF_both",0.971,2,"LEF_both",0.966
1,8,1,"Jackknife_MVN",0.929621848739496,3,"Jackknife_MVN",0.925925925925926
1,8,1,"Sandwich",0.905333333333333,4,"Sandwich",0.905562742561449
1,8,1,"Jackknife_Wald",0.868,5,"Jackknife_Wald",0.867
1,8,1,"Bootstrap",0.852,6,"Bootstrap",0.838
2,8,1,"Jackknife_MVN",0.927521008403361,1,"Jackknife_MVN",0.928042328042328
2,8,1,"LEF_outcome",0.922,2,"LEF_outcome",0.916
2,8,1,"LEF_both",0.92,3,"LEF_both",0.915
2,8,1,"Jackknife_Wald",0.846,4,"Jackknife_Wald",0.847
2,8,1,"Sandwich",0.838666666666667,5,"Sandwich",0.816300129366106
2,8,1,"Bootstrap",0.801,6,"Bootstrap",0.783
3,8,1,"Jackknife_MVN",0.930672268907563,1,"Jackknife_MVN",0.935449735449735
3,8,1,"LEF_outcome",0.865,2,"LEF_outcome",0.843
3,8,1,"LEF_both",0.864,3,"Jackknife_Wald",0.84
3,8,1,"Jackknife_Wald",0.842,4,"LEF_both",0.839
3,8,1,"Sandwich",0.748,5,"Bootstrap",0.745
3,8,1,"Bootstrap",0.742,6,"Sandwich",0.738680465717982
4,8,1,"Jackknife_MVN",0.93172268907563,1,"Jackknife_MVN",0.932275132275132
4,8,1,"Jackknife_Wald",0.818,2,"Jackknife_Wald",0.824
4,8,1,"LEF_both",0.785,3,"LEF_outcome",0.779
4,8,1,"LEF_outcome",0.782,4,"LEF_both",0.776
4,8,1,"Bootstrap",0.733,5,"Bootstrap",0.729
4,8,1,"Sandwich",0.668,6,"Sandwich",0.676584734799483
0,9,1,"LEF_outcome",0.965,1,"LEF_outcome",0.948
0,9,1,"LEF_both",0.965,1,"LEF_both",0.948
0,9,1,"Sandwich",0.917748917748918,2,"Sandwich",0.880184331797235
0,9,1,"Jackknife_Wald",0.634,3,"Jackknife_Wald",0.633
0,9,1,"Bootstrap",0.614,4,"Bootstrap",0.62
0,9,1,"Jackknife_MVN",0.611344537815126,5,"Jackknife_MVN",0.619047619047619
1,9,1,"LEF_outcome",0.947,1,"LEF_outcome",0.923
1,9,1,"LEF_both",0.945,2,"LEF_both",0.921
1,9,1,"Sandwich",0.865800865800866,3,"Sandwich",0.824884792626728
1,9,1,"Jackknife_Wald",0.654,4,"Jackknife_MVN",0.653679653679654
1,9,1,"Jackknife_MVN",0.647058823529412,5,"Jackknife_Wald",0.651
1,9,1,"Bootstrap",0.558,6,"Bootstrap",0.55
2,9,1,"LEF_outcome",0.899,1,"LEF_outcome",0.877
2,9,1,"LEF_both",0.899,1,"LEF_both",0.877
2,9,1,"Sandwich",0.774891774891775,2,"Sandwich",0.783410138248848
2,9,1,"Jackknife_MVN",0.684873949579832,3,"Jackknife_MVN",0.714285714285714
2,9,1,"Jackknife_Wald",0.669,4,"Jackknife_Wald",0.675
2,9,1,"Bootstrap",0.517,5,"Bootstrap",0.505
3,9,1,"LEF_both",0.838,1,"LEF_both",0.822
3,9,1,"LEF_outcome",0.836,2,"LEF_outcome",0.82
3,9,1,"Sandwich",0.757575757575758,3,"Sandwich",0.746543778801843
3,9,1,"Jackknife_MVN",0.73109243697479,4,"Jackknife_MVN",0.74025974025974
3,9,1,"Jackknife_Wald",0.713,5,"Jackknife_Wald",0.704
3,9,1,"Bootstrap",0.493,6,"Bootstrap",0.463
4,9,1,"LEF_both",0.799,1,"LEF_outcome",0.767
4,9,1,"LEF_outcome",0.798,2,"LEF_both",0.765
4,9,1,"Jackknife_Wald",0.742,3,"Jackknife_MVN",0.748917748917749
4,9,1,"Sandwich",0.74025974025974,4,"Jackknife_Wald",0.716
